Variable,Year,Value,RSE,Industry
AI stud fees and herd testing ($),1990,810.0,39.0,All Broadacre
Accounting services ($),1990,2920.0,4.0,All Broadacre
Advisory services ($),1990,290.0,37.0,All Broadacre
Age of owner manager (yrs),1990,53.0,1.0,All Broadacre
Age of spouse (yrs),1990,49.0,1.0,All Broadacre
Agistment ($),1990,1990.0,36.0,All Broadacre
Area operated at 30 June (ha),1990,5466.0,8.0,All Broadacre
Barley area sown (ha),1990,27.0,7.0,All Broadacre
Barley produced (t),1990,51.0,8.0,All Broadacre
Barley receipts ($),1990,17870.0,9.0,All Broadacre
Beef bulls at 30 June (no.),1990,6.0,9.0,All Broadacre
Beef calves at 30 June (no.),1990,60.0,5.0,All Broadacre
Beef cattle purchased ($),1990,26900.0,196.0,All Broadacre
Beef cattle purchased (no.),1990,27.0,155.0,All Broadacre
Beef cattle receipts ($),1990,107430.0,69.0,All Broadacre
Beef cattle sold (no.),1990,93.0,39.0,All Broadacre
Beef cattle transferred off farm (no.),1990,3.0,48.0,All Broadacre
Beef cattle transferred onto farm (no.),1990,3.0,48.0,All Broadacre
Beef cows at 30 June (no.),1990,102.0,5.0,All Broadacre
Beef heifers at 30 June (no.),1990,23.0,7.0,All Broadacre
Beef herd at 30 June (no.),1990,235.0,8.0,All Broadacre
Branding rate (%),1990,79.6,2.0,All Broadacre
Buildup in trading stocks ($),1990,9640.0,61.0,All Broadacre
Canola area sown (ha),1990,1.0,70.0,All Broadacre
Canola produced (t),1990,1.0,88.0,All Broadacre
Canola receipts ($),1990,520.0,80.0,All Broadacre
Capital appreciation ($),1990,-113200.0,19.0,All Broadacre
Capital at 1 July ($),1990,2653830.0,3.0,All Broadacre
Change in farm debt ($),1990,22600.0,24.0,All Broadacre
Contracts - cropping ($),1990,5030.0,9.0,All Broadacre
Contracts - livestock ($),1990,1130.0,15.0,All Broadacre
Cotton receipts ($),1990,420.0,62.0,All Broadacre
Crop and pasture chemicals ($),1990,10990.0,20.0,All Broadacre
Dairy cattle at June 30 (no.),1990,0.0,61.0,All Broadacre
Depreciation ($),1990,42290.0,4.0,All Broadacre
Electricity ($),1990,3030.0,11.0,All Broadacre
Equity ratio at 30 June (%),1990,90.0,1.0,All Broadacre
Ewes at 30 June (no.),1990,945.0,3.0,All Broadacre
Family share of farm income ($),1990,46270.0,10.0,All Broadacre
Farm business debt at 30 June ($),1990,249850.0,6.0,All Broadacre
Farm business equity June 30 ($),1990,2221480.0,3.0,All Broadacre
Farm business profit ($),1990,15350.0,38.0,All Broadacre
Farm cash income ($),1990,116880.0,5.0,All Broadacre
Farm liquid assets at 30 June ($),1990,132640.0,8.0,All Broadacre
Fertiliser ($),1990,20960.0,9.0,All Broadacre
Field peas area sown (ha),1990,6.0,20.0,All Broadacre
Field peas produced (t),1990,6.0,17.0,All Broadacre
Field peas receipts ($),1990,3140.0,20.0,All Broadacre
Fodder ($),1990,8320.0,252.0,All Broadacre
Fuel oil and grease ($),1990,20820.0,5.0,All Broadacre
Grain legumes area sown (ha),1990,17.0,49.0,All Broadacre
Grain legumes produced (t),1990,17.0,41.0,All Broadacre
Grain legumes receipts ($),1990,7580.0,44.0,All Broadacre
Handling and marketing ($),1990,22110.0,3.0,All Broadacre
Hours worked on farm - total (hrsperwk),1990,,,All Broadacre
Hours worked on farm by owner manager (hrsperwk),1990,,,All Broadacre
Hours worked on farm by spouse (hrsperwk),1990,,,All Broadacre
Imputed labor cost ($),1990,68880.0,2.0,All Broadacre
Insurance ($),1990,6460.0,5.0,All Broadacre
Interest paid ($),1990,39780.0,7.0,All Broadacre
Lambs at 30 June (no.),1990,450.0,4.0,All Broadacre
Land rent ($),1990,3400.0,13.0,All Broadacre
Leasing charges ($),1990,7470.0,26.0,All Broadacre
Livestock materials ($),1990,8190.0,4.0,All Broadacre
Livestock transfers - inwards ($),1990,2410.0,39.0,All Broadacre
Livestock transfers - outward ($),1990,2350.0,48.0,All Broadacre
Lupins area sown (ha),1990,10.0,81.0,All Broadacre
Lupins produced (t),1990,9.0,70.0,All Broadacre
Lupins receipts ($),1990,3320.0,88.0,All Broadacre
Net capital additions ($),1990,53020.0,17.0,All Broadacre
Oats area sown (ha),1990,20.0,9.0,All Broadacre
Oats produced (t),1990,20.0,10.0,All Broadacre
Oats receipts ($),1990,2580.0,17.0,All Broadacre
Off farm contracts ($),1990,7030.0,19.0,All Broadacre
Off farm sharefarming ($),1990,5500.0,29.0,All Broadacre
Off-farm work for owner manager (hrsperwk),1990,3.0,19.0,All Broadacre
Off-farm work for spouse (hrsperwk),1990,4.0,12.0,All Broadacre
Oilseeds area sown (ha),1990,6.0,53.0,All Broadacre
Oilseeds produced (t),1990,6.0,47.0,All Broadacre
Oilseeds receipts ($),1990,5730.0,33.0,All Broadacre
Other administration expenses ($),1990,4860.0,6.0,All Broadacre
Other farm income ($),1990,12880.0,26.0,All Broadacre
Other livestock purchased ($),1990,460.0,18.0,All Broadacre
Other livestock receipts ($),1990,4520.0,21.0,All Broadacre
Other materials ($),1990,3180.0,7.0,All Broadacre
Other services ($),1990,11500.0,6.0,All Broadacre
Payments to sharefarmers ($),1990,3890.0,21.0,All Broadacre
Population,1990,83618.0,,All Broadacre
Produce purchased for resale ($),1990,80.0,54.0,All Broadacre
Profit at full equity ($),1990,63450.0,8.0,All Broadacre
Profit at full equity including capital appreciation ($),1990,-49760.0,44.0,All Broadacre
Rams at 30 June (no.),1990,26.0,6.0,All Broadacre
Rate of return ex. capital appreciation (%),1990,2.5,8.0,All Broadacre
Rate of return inc. capital appreciation (%),1990,-1.9,44.0,All Broadacre
Repairs and maintenance ($),1990,31910.0,6.0,All Broadacre
Rice area sown (ha),1990,1.0,23.0,All Broadacre
Sample Contributing,1990,1041.0,,All Broadacre
Seed ($),1990,3590.0,10.0,All Broadacre
Shearing crutching ($),1990,14200.0,4.0,All Broadacre
Sheep and lambs shorn (no.),1990,2136.0,3.0,All Broadacre
Sheep flock at 30 June (no.),1990,2018.0,3.0,All Broadacre
Sheep purchased ($),1990,11750.0,13.0,All Broadacre
Sheep purchased (no.),1990,170.0,18.0,All Broadacre
Sheep receipts ($),1990,32160.0,6.0,All Broadacre
Sheep sold (no.),1990,583.0,4.0,All Broadacre
Shire and PPB rates ($),1990,8270.0,4.0,All Broadacre
Sorghum area sown (ha),1990,7.0,29.0,All Broadacre
Sorghum produced (t),1990,12.0,19.0,All Broadacre
Sorghum receipts ($),1990,5030.0,20.0,All Broadacre
Steers and other beef cattle at 30 June (no.),1990,45.0,37.0,All Broadacre
Stores and rations ($),1990,820.0,9.0,All Broadacre
Telephone ($),1990,2590.0,4.0,All Broadacre
Total area cropped (ha),1990,211.0,10.0,All Broadacre
Total area irrigated (ha),1990,12.0,13.0,All Broadacre
Total cash costs ($),1990,319600.0,25.0,All Broadacre
Total cash receipts ($),1990,436490.0,18.0,All Broadacre
Total closing capital ($),1990,2560980.0,3.0,All Broadacre
Total crop gross receipts ($),1990,123510.0,10.0,All Broadacre
Total family income ($),1990,88910.0,6.0,All Broadacre
Total freight ($),1990,14290.0,13.0,All Broadacre
Total labor used (weeks),1990,109.0,3.0,All Broadacre
Total non farm income ($),1990,34780.0,6.0,All Broadacre
Total off farm wages ($),1990,11870.0,12.0,All Broadacre
Total wool sold (kg),1990,10026.0,3.0,All Broadacre
Value of land and fixed improvements ($),1990,2083130.0,3.0,All Broadacre
Vet fees ($),1990,460.0,14.0,All Broadacre
Wages for hired labor ($),1990,13200.0,14.0,All Broadacre
Water charges ($),1990,1590.0,15.0,All Broadacre
Wethers at 30 June (no.),1990,598.0,5.0,All Broadacre
Wheat area sown (ha),1990,105.0,11.0,All Broadacre
Wheat produced (t),1990,167.0,11.0,All Broadacre
Wheat receipts ($),1990,71850.0,12.0,All Broadacre
Wheat sold (t),1990,162.0,11.0,All Broadacre
Wool cut per head (kg),1990,4.7,1.0,All Broadacre
Wool produced (kg),1990,10034.0,3.0,All Broadacre
Wool receipts ($),1990,141090.0,3.0,All Broadacre
AI stud fees and herd testing ($),1990,1880.0,59.0,Beef
Accounting services ($),1990,2380.0,9.0,Beef
Advisory services ($),1990,150.0,46.0,Beef
Age of owner manager (yrs),1990,57.0,2.0,Beef
Age of spouse (yrs),1990,51.0,3.0,Beef
Agistment ($),1990,3130.0,28.0,Beef
Area operated at 30 June (ha),1990,12927.0,14.0,Beef
Barley area sown (ha),1990,3.0,36.0,Beef
Barley produced (t),1990,4.0,58.0,Beef
Barley receipts ($),1990,1440.0,73.0,Beef
Beef bulls at 30 June (no.),1990,18.0,12.0,Beef
Beef calves at 30 June (no.),1990,169.0,7.0,Beef
Beef cattle purchased ($),1990,65190.0,17.0,Beef
Beef cattle purchased (no.),1990,64.0,20.0,Beef
Beef cattle receipts ($),1990,287670.0,7.0,Beef
Beef cattle sold (no.),1990,249.0,6.0,Beef
Beef cattle transferred off farm (no.),1990,11.0,52.0,Beef
